"Year","latitude","depth","avgtemp","MinTemp","MaxTemp"
2017,49.5,"Shallow",5.781746,0,0
2017,50.5,"Deep",3.565622,0,1
2017,50.5,"Mid",4.281617,0,0
2017,50.5,"Shallow",5.334838,1,0
2017,51.5,"Deep",3.237777,0,0
2017,51.5,"Mid",4.537002,0,0
2017,51.5,"Shallow",6.461419,0,0
2017,52.5,"Deep",3.243427,0,0
2017,52.5,"Mid",4.21627,0,0
2017,52.5,"Shallow",5.435038,0,0
2017,53.5,"Deep",2.891608,0,0
2017,53.5,"Mid",4.141287,1,0
2017,53.5,"Shallow",5.648992,0,0
2017,54.5,"Deep",2.783427,1,0
2017,54.5,"Mid",4.259008,0,0
2017,54.5,"Shallow",5.448907,0,0
2018,48.5,"Deep",3.722336,0,1
2018,48.5,"Mid",5.025231,0,1
2018,48.5,"Shallow",6.129492,0,0
2018,49.5,"Deep",3.432961,0,0
2018,49.5,"Mid",4.511606,0,0
2018,49.5,"Shallow",7.084825,0,1
2018,50.5,"Deep",3.070806,1,0
2018,50.5,"Mid",4.989047,0,0
2018,50.5,"Shallow",6.804346,0,0
2018,51.5,"Deep",3.216609,0,0
2018,51.5,"Mid",4.674264,0,0
2018,51.5,"Shallow",6.594327,0,0
2018,52.5,"Deep",3.369077,0,0
2018,52.5,"Mid",4.319576,0,0
2018,52.5,"Shallow",6.300651,0,0
2018,53.5,"Deep",3.478576,0,0
2018,53.5,"Mid",3.96494,1,0
2018,53.5,"Shallow",5.962901,1,0
2018,54.5,"Deep",3.089548,0,0
2018,54.5,"Mid",4.617775,0,0
2018,54.5,"Shallow",6.065257,0,0
2019,48.5,"Deep",2.932751,1,0
2019,48.5,"Mid",4.592955,0,0
2019,48.5,"Shallow",6.271555,0,0
2019,49.5,"Deep",3.790033,0,1
2019,49.5,"Mid",4.570292,0,0
2019,49.5,"Shallow",6.446119,0,0
2019,50.5,"Deep",3.698424,0,0
2019,50.5,"Mid",4.546752,0,0
2019,50.5,"Shallow",6.525905,0,1
2019,51.5,"Deep",3.366002,0,0
2019,51.5,"Mid",4.306934,0,0
2019,51.5,"Shallow",5.472526,0,0
2019,52.5,"Deep",3.073744,0,0
2019,52.5,"Mid",4.277464,1,0
2019,52.5,"Shallow",5.218928,0,0
2019,53.5,"Deep",3.373609,0,0
2019,53.5,"Mid",4.283584,0,0
2019,53.5,"Shallow",4.828344,1,0
2019,54.5,"Mid",4.669462,0,1
2019,54.5,"Shallow",5.969482,0,0
2020,48.5,"Deep",3.37044,0,0
2020,48.5,"Mid",4.870832,0,1
2020,48.5,"Shallow",6.274847,0,1
2020,49.5,"Deep",3.592001,0,1
2020,49.5,"Mid",4.413468,0,0
2020,49.5,"Shallow",5.729914,0,0
2020,50.5,"Deep",3.25575,0,0
2020,50.5,"Shallow",6.032094,0,0
2020,51.5,"Deep",3.431164,0,0
2020,51.5,"Mid",4.683994,0,0
2020,51.5,"Shallow",5.865107,0,0
2020,52.5,"Deep",3.042215,1,0
2020,52.5,"Mid",4.039054,1,0
2020,52.5,"Shallow",5.720798,0,0
2020,53.5,"Deep",3.081211,0,0
2020,53.5,"Mid",4.245488,0,0
2020,53.5,"Shallow",5.622942,0,0
2020,54.5,"Deep",3.272305,0,0
2020,54.5,"Mid",4.307201,0,0
2020,54.5,"Shallow",5.532938,1,0
